['13.934', '6.344']
['14.914', '5.715']
['14.044', '6.222']
['15.096', '6.049']
['15.906', '6.316']
['14.499', '6.549']
['15.198', '7.247']
['15.477', '6.810']
['15.598', '6.748']
['16.180', '7.092']
['13.915', '6.484']
['15.383', '6.177']
['16.215', '6.117']
['17.868', '5.353']
['17.810', '5.191']
['18.422', '6.494']
['15.306', '5.842']
['17.382', '7.702']
['17.741', '7.532']
['15.226', '6.386']
['14.859', '5.553']
['15.411', '5.255']
['17.899', '5.691']
['16.996', '5.455']
['15.531', '6.030']
['16.576', '6.721']
['15.381', '5.786']
['16.174', '5.864']
['18.687', '7.639']
['15.795', '7.257']
['14.604', '6.516']
['15.853', '7.208']
['17.070', '6.412']
['17.707', '6.453']
['16.764', '6.599']
['15.537', '6.029']
['14.655', '5.752']
['17.835', '6.176']
['14.282', '5.109']
['14.003', '5.303']
['17.299', '6.074']
['17.140', '7.764']
['15.980', '8.527']
['17.619', '8.924']
['14.787', '7.429']
['17.579', '7.753']
['16.779', '7.204']
['17.842', '9.020']
['16.948', '9.153']
['15.693', '6.896']
['15.872', '6.647']
['14.479', '6.131']
['14.414', '6.194']
['14.558', '5.590']
['15.327', '5.479']
['15.573', '7.555']
['13.142', '7.548']
['14.753', '9.380']
['17.379', '7.226']
['15.592', '6.670']
['17.039', '7.232']
['14.151', '6.715']
['16.240', '8.193']
['16.395', '7.807']
['18.191', '5.414']
['14.934', '5.728']
['14.706', '8.235']
['15.387', '6.884']
['15.058', '5.497']
['14.805', '6.802']
['14.846', '6.095']
['18.108', '6.467']
['16.783', '5.491']
['15.153', '6.286']
['17.628', '7.169']
['16.048', '7.062']
['15.261', '7.683']
['13.696', '6.784']
['14.824', '6.706']
['12.989', '5.894']
['12.334', '5.912']
['10.749', '4.963']
['10.377', '6.251']
['9.570', '5.921']
['10.726', '6.947']
['10.945', '8.350']
['16.381', '8.082']
['13.667', '9.160']
['11.983', '8.050']
['12.535', '6.528']
['13.166', '7.453']
['11.624', '6.499']
['11.623', '6.839']
['13.071', '6.908']
['12.904', '7.504']
['11.126', '6.993']
['13.970', '7.886']
['16.357', '7.637']
['13.711', '5.886']
['14.119', '6.091']
['14.954', '5.868']
['14.919', '5.605']
['14.888', '6.480']
['15.733', '6.976']
['15.546', '7.741']
['16.719', '7.475']
['15.878', '7.533']
['14.795', '6.597']
['14.199', '5.567']
['14.478', '6.637']
['15.365', '8.500']
['14.617', '8.178']
['16.617', '10.485']
['14.777', '8.853']
['13.193', '6.685']
['15.545', '6.785']
['13.485', '6.843']
['16.225', '7.743']
['15.291', '7.032']
['16.789', '6.925']
['15.043', '5.845']
['15.431', '6.369']
['17.946', '7.558']
['19.020', '6.788']
['19.320', '6.849']
['18.373', '8.252']
['12.715', '7.993']
['13.358', '7.722']
